[2024-04-29T21:52:34.159635+02:00] web.DEBUG: debug! {"chave":"valor"} []
[2024-04-29T21:52:34.911841+02:00] web.WARNING: warning! {"chave":"valor"} []
[2024-04-29T21:52:35.768310+02:00] web.ERROR: error! {"chave":"valor"} []
[2024-04-29T21:52:36.641760+02:00] web.CRITICAL: Critical! {"chave":"valor"} []
[2024-04-29T21:52:37.506082+02:00] web.ALERT: Alert! {"chave":"valor"} []
[2024-04-29T23:00:58.758269+02:00] web.DEBUG: debug! {"chave":"valor"} []
[2024-04-29T23:00:59.717053+02:00] web.WARNING: warning! {"chave":"valor"} []
[2024-04-29T23:01:00.506652+02:00] web.ERROR: error! {"chave":"valor"} []
[2024-04-29T23:01:01.392233+02:00] web.CRITICAL: Critical! {"chave":"valor"} []
[2024-04-29T23:01:02.182611+02:00] web.ALERT: Alert! {"chave":"valor"} []
[2024-04-29T23:01:15.858138+02:00] web.DEBUG: debug! {"chave":"valor"} []
[2024-04-29T23:01:16.806751+02:00] web.WARNING: warning! {"chave":"valor"} []
[2024-04-29T23:01:17.588275+02:00] web.ERROR: error! {"chave":"valor"} []
[2024-04-29T23:01:18.481210+02:00] web.CRITICAL: Critical! {"chave":"valor"} []
[2024-04-29T23:01:19.309590+02:00] web.ALERT: Alert! {"chave":"valor"} []
[2024-04-29T23:07:04.470088+02:00] web.DEBUG: debug! {"chave":"valor"} []
[2024-04-29T23:07:05.327888+02:00] web.WARNING: warning! {"chave":"valor"} []
[2024-04-29T23:07:06.112368+02:00] web.ERROR: error! {"chave":"valor"} []
[2024-04-29T23:07:06.908126+02:00] web.CRITICAL: Critical! {"chave":"valor"} []
[2024-04-29T23:07:07.699522+02:00] web.ALERT: Alert! {"chave":"valor"} []
[2024-04-29T23:07:08.493703+02:00] web.DEBUG: debug! {"chave":"valor"} []
[2024-04-29T23:07:09.286285+02:00] web.WARNING: warning! {"chave":"valor"} []
[2024-04-29T23:07:10.168049+02:00] web.ERROR: error! {"chave":"valor"} []
[2024-04-29T23:07:11.042608+02:00] web.CRITICAL: Critical! {"chave":"valor"} []
[2024-04-29T23:07:11.824922+02:00] web.ALERT: Alert! {"chave":"valor"} []
